Symbol,Name,Price,% Change,Market Cap,Volume,Circulating Supply
AXL17799-USD,Axelar,0.637785,-0.33%,451.282M,13.264M,707.576M
NFT9816-USD,APENFT,4.5e-07,-0.03%,451.046M,16.472M,999.99T
RSWETH-USD,Restaked Swell Ethereum,3412.2,-0.65%,448.981M,4.57M,131580
LUNC-USD,Terra Classic,8.2e-05,+1.33%,447.307M,13.774M,5.472T
PEOPLE-USD,ConstitutionDAO,0.088389,-4.21%,447.26M,83.841M,5.06B
ETHX-USD,Stader ETHx,3525.96,-1.42%,444.888M,501291,126175
BTG-USD,Bitcoin Gold,24.97,-1.89%,437.287M,1.569M,17.514M
MX-USD,MX Token,4.4107,-0.83%,433.874M,40.681M,98.369M
XDC-USD,XDC Network,0.02904,+0.89%,432.906M,6.505M,14.907B
AEVO-USD,Aevo,0.514117,+1.43%,432.171M,38.78M,840.608M
PAXG-USD,PAX Gold,2321.12,+0.37%,431.386M,3.599M,185852
ZRO26997-USD,LayerZero,3.8359,+1.22%,421.948M,432.56M,110M
ASTR-USD,Astar,0.073137,-0.79%,417.687M,74.211M,5.711B
COMP5692-USD,Compound,49.08,-0.60%,410.244M,34.622M,8.359M
WOO-USD,WOO,0.21133,-1.31%,404.387M,6.029M,1.914B
PYUSD-USD,PayPal USD,0.999464,+0.17%,403.624M,31.28M,403.841M
MEW30126-USD,cat in a dogs world,0.0045,-2.80%,400.032M,61.634M,88.889B
IPV28367-USD,IPVERSE,2.6338,+1.39%,395.071M,254366,150.001M
SSV-USD,ssv.network,39.43,+1.02%,394.298M,22.039M,10M
RPL-USD,Rocket Pool,19.24,-2.80%,393.295M,3.596M,20.445M
WPLS-USD,Wrapped Pulse,4.6e-05,-2.52%,392.962M,2.018M,8.636T
IOTX-USD,IoTeX,0.041056,+0.24%,387.621M,9.965M,9.441B
SFP-USD,SafePal,0.837221,+0.34%,387.215M,4.701M,462.5M
USDB29599-USD,USDB,0.997868,-0.49%,385.938M,23.692M,386.763M
PEPECOIN-USD,PepeCoin,3.3173,-4.38%,383.982M,2.272M,115.752M
1000SATS-USD,SATS,0.000179,-0.95%,376.389M,18.995M,2.1T
ANT-USD,Aragon,8.6632,-0.17%,374.077M,3.902M,43.18M
BNX23635-USD,BinaryX,1.0077,+26.46%,370.59M,61.607M,367.759M
MEME28301-USD,Memecoin,0.017534,-3.47%,368.508M,41.349M,21.017B
KSM-USD,Kusama,24.02,+1.14%,364.147M,9.973M,15.158M
OSMO-USD,Osmosis,0.53756,-1.47%,359.696M,10.438M,669.127M
CRV-USD,Curve DAO Token,0.282752,+1.01%,352.406M,78.033M,1.246B
ARKM-USD,Arkham,1.695,+7.87%,346.8M,55.357M,204.6M
GLM-USD,Golem,0.345446,-1.24%,345.446M,6.712M,1B
BETH-USD,Beacon ETH,3412.31,-0.50%,344.551M,3.088M,100973
MANTA-USD,Manta Network,1.01,-0.54%,342.485M,22.51M,339.1M
BLAST28480-USD,Blast,0.019678,-7.46%,342.252M,159.902M,17.393B
BLUR-USD,Blur,0.199419,+1.00%,341.541M,47.651M,1.713B
GMT18069-USD,GMT,0.161188,+0.13%,340.353M,11.175M,2.112B
ZEC-USD,Zcash,20.7,+0.10%,338.03M,39.387M,16.328M
ETHDYDX-USD,dYdX (ethDYDX),1.3537,+1.81%,332.829M,28.123M,245.868M
BSOL-USD,BlazeStake Staked SOL,174.93,+4.83%,331.38M,10.953M,1.894M
LUNA20314-USD,Terra,0.422017,-0.44%,330.662M,11.604M,783.528M
ZIL-USD,Zilliqa,0.017631,+3.20%,328.842M,13.64M,18.651B
XRD-USD,Radix,0.031041,+0.95%,325.517M,1.451M,10.487B
TRAC-USD,OriginTrail,0.794847,-1.79%,323.443M,2.314M,406.925M
SUPER8290-USD,SuperVerse,0.656589,-0.30%,320.269M,3.541M,487.776M
CELO-USD,Celo,0.588779,+0.21%,319.352M,20.988M,542.397M
ORBR-USD,Orbler,0.31425,-6.99%,319.148M,66141,1.016B
PRIME23711-USD,Echelon Prime,8.9145,-3.14%,318.905M,1.955M,35.774M
AERO29270-USD,Aerodrome Finance,0.616562,-5.68%,318.38M,23.999M,516.38M
INF-USD,INFAM,186.65,+5.08%,315.87M,7.129M,1.692M
HOT2682-USD,Holo,0.001797,-1.14%,311.92M,7.549M,173.573B
JTO-USD,Jito,2.5234,+6.28%,310.839M,40.986M,123.181M
ENJ-USD,Enjin Coin,0.191308,-1.77%,310.748M,11.48M,1.624B
ETHFI-USD,ether.fi,2.6898,-7.08%,309.867M,106.079M,115.2M
ILV-USD,Illuvium,68.72,+0.43%,306.954M,4.836M,4.467M
ZRX-USD,0x Protocol,0.35898,+0.21%,304.234M,8.851M,847.496M
LSETH-USD,Liquid Staked ETH,3587.82,-0.07%,299.876M,25049,83581
JST-USD,JUST,0.030065,+0.91%,297.639M,17.116M,9.9B
ANKR-USD,Ankr,0.029731,-1.20%,297.31M,9.443M,10B
DASH-USD,Dash,24.4,+1.48%,289.488M,29.673M,11.864M
ID21846-USD,SPACE ID,0.447452,-1.09%,288.04M,11.41M,643.734M
CVX-USD,Convex Finance,2.9295,-4.12%,283.265M,28.263M,96.695M
DYM-USD,Dymension,1.5009,+1.57%,283.185M,16.803M,188.683M
BAT-USD,Basic Attention Token,0.189383,-0.07%,283.105M,46.792M,1.495B
IO29835-USD,io.net,2.9278,-4.13%,278.145M,85.234M,95M
GMX11857-USD,GMX,29.05,+1.57%,277.798M,9.578M,9.563M
RSR-USD,Reserve Rights,0.005466,-0.03%,276.58M,11.687M,50.6B
RVN-USD,Ravencoin,0.0196,+0.21%,274.707M,9.122M,14.016B
METIS-USD,Metis,48.1,+0.92%,273.527M,8.433M,5.686M
MGC29839-USD,Meta Games Coin,0.247216,-0.24%,271.938M,41806,1.1B
QTUM-USD,Qtum,2.5712,+0.37%,270.538M,28.118M,105.217M
SKL-USD,SKALE,0.049165,-2.14%,270.112M,19.388M,5.494B
ATH30083-USD,Aethir,0.071136,+2.15%,268.893M,27.71M,3.78B
ETHW-USD,EthereumPoW,2.4899,-0.24%,268.463M,5.278M,107.819M
TURBO-USD,Turbo,0.004191,-2.27%,266.885M,63.735M,63.675B
SC-USD,Siacoin,0.004628,-0.36%,266.432M,1.661M,57.573B
CSPR-USD,Casper,0.021921,+2.58%,265.879M,3.067M,12.129B
ABT-USD,Arcblock,2.6836,+18.24%,264.479M,7.593M,98.554M
BICO-USD,Biconomy,0.365545,-1.95%,264.201M,4.362M,722.759M
TRIBE-USD,Tribe,0.48532,+0.28%,261.179M,373517,538.158M
GAL11877-USD,Galxe,2.2589,+3.12%,260.936M,12.414M,115.513M
VBTC-USD,Venus BTC,1260.24,-1.46%,259.403M,658.138M,205836
TRUMP27872-USD,MAGA,5.8509,-10.42%,257.426M,7.455M,43.997M
MASK8536-USD,Mask Network,2.552,+1.65%,255.199M,20.725M,100M
ELF-USD,aelf,0.347982,-1.40%,254.483M,16.827M,731.312M
ZETA-USD,ZetaChain,0.870262,+3.53%,247.861M,23.319M,284.813M
TRB-USD,Tellor,94.14,+0.40%,244.601M,26.048M,2.598M
BDX-USD,Beldex,0.037701,+2.21%,243.109M,1.152M,6.448B
CFG-USD,Centrifuge,0.489014,-2.09%,242.221M,519286,495.325M
GAS-USD,Gas,3.6662,+0.09%,238.272M,5.699M,64.992M
POLYX-USD,Polymesh,0.274108,-2.07%,235.1M,13.515M,857.693M
